,from,to,value
864,Guatemala,Antigua and Barbuda,e-visa
865,Guinea,Antigua and Barbuda,e-visa
866,Guinea-Bissau,Antigua and Barbuda,e-visa
867,Guyana,Antigua and Barbuda,180
868,Haiti,Antigua and Barbuda,e-visa
869,Honduras,Antigua and Barbuda,e-visa
870,Hong Kong,Antigua and Barbuda,30
871,Hungary,Antigua and Barbuda,180
872,Iceland,Antigua and Barbuda,180
873,India,Antigua and Barbuda,e-visa
874,Indonesia,Antigua and Barbuda,e-visa
875,Iran,Antigua and Barbuda,e-visa
876,Iraq,Antigua and Barbuda,e-visa
877,Ireland,Antigua and Barbuda,180
878,Israel,Antigua and Barbuda,e-visa
879,Italy,Antigua and Barbuda,180
880,Jamaica,Antigua and Barbuda,180
881,Japan,Antigua and Barbuda,180
882,Jordan,Antigua and Barbuda,e-visa
883,Kazakhstan,Antigua and Barbuda,180
884,Kenya,Antigua and Barbuda,180
885,Kiribati,Antigua and Barbuda,180
886,Kosovo,Antigua and Barbuda,90
887,Kuwait,Antigua and Barbuda,e-visa
888,Kyrgyzstan,Antigua and Barbuda,180
889,Laos,Antigua and Barbuda,e-visa
890,Latvia,Antigua and Barbuda,180
891,Lebanon,Antigua and Barbuda,e-visa
892,Lesotho,Antigua and Barbuda,180
893,Liberia,Antigua and Barbuda,e-visa
894,Libya,Antigua and Barbuda,e-visa
895,Liechtenstein,Antigua and Barbuda,180
896,Lithuania,Antigua and Barbuda,180
897,Luxembourg,Antigua and Barbuda,180
898,Macao,Antigua and Barbuda,30
899,Madagascar,Antigua and Barbuda,180
900,Malawi,Antigua and Barbuda,180
901,Malaysia,Antigua and Barbuda,180
902,Maldives,Antigua and Barbuda,180
903,Mali,Antigua and Barbuda,e-visa
904,Malta,Antigua and Barbuda,180
905,Marshall Islands,Antigua and Barbuda,180
906,Mauritania,Antigua and Barbuda,e-visa
907,Mauritius,Antigua and Barbuda,180
908,Mexico,Antigua and Barbuda,180
909,Micronesia,Antigua and Barbuda,e-visa
910,Moldova,Antigua and Barbuda,180
911,Monaco,Antigua and Barbuda,180
912,Mongolia,Antigua and Barbuda,e-visa
913,Montenegro,Antigua and Barbuda,e-visa
914,Morocco,Antigua and Barbuda,e-visa
915,Mozambique,Antigua and Barbuda,e-visa
916,Myanmar,Antigua and Barbuda,e-visa
917,Namibia,Antigua and Barbuda,180
918,Nauru,Antigua and Barbuda,180
919,Nepal,Antigua and Barbuda,e-visa
920,Netherlands,Antigua and Barbuda,180
921,New Zealand,Antigua and Barbuda,180
922,Nicaragua,Antigua and Barbuda,e-visa
923,Niger,Antigua and Barbuda,e-visa
924,Nigeria,Antigua and Barbuda,e-visa
925,North Korea,Antigua and Barbuda,e-visa
926,North Macedonia,Antigua and Barbuda,180
927,Norway,Antigua and Barbuda,180
928,Oman,Antigua and Barbuda,e-visa
929,Pakistan,Antigua and Barbuda,e-visa
930,Palau,Antigua and Barbuda,e-visa
931,Palestine,Antigua and Barbuda,e-visa
932,Panama,Antigua and Barbuda,180
933,Papua New Guinea,Antigua and Barbuda,180
934,Paraguay,Antigua and Barbuda,e-visa
935,Peru,Antigua and Barbuda,180
936,Philippines,Antigua and Barbuda,e-visa
937,Poland,Antigua and Barbuda,180
938,Portugal,Antigua and Barbuda,180
939,Qatar,Antigua and Barbuda,e-visa
940,Romania,Antigua and Barbuda,180
941,Russia,Antigua and Barbuda,90
942,Rwanda,Antigua and Barbuda,e-visa
943,Saint Kitts and Nevis,Antigua and Barbuda,visa free
944,Saint Lucia,Antigua and Barbuda,visa free
945,Samoa,Antigua and Barbuda,180
946,San Marino,Antigua and Barbuda,180
947,Sao Tome and Principe,Antigua and Barbuda,e-visa
948,Saudi Arabia,Antigua and Barbuda,e-visa
949,Senegal,Antigua and Barbuda,e-visa
950,Serbia,Antigua and Barbuda,180
951,Seychelles,Antigua and Barbuda,180
952,Sierra Leone,Antigua and Barbuda,e-visa
953,Singapore,Antigua and Barbuda,180
954,Slovakia,Antigua and Barbuda,180
955,Slovenia,Antigua and Barbuda,180
956,Solomon Islands,Antigua and Barbuda,180
957,Somalia,Antigua and Barbuda,e-visa
958,South Africa,Antigua and Barbuda,180
959,South Korea,Antigua and Barbuda,180
960,South Sudan,Antigua and Barbuda,e-visa
961,Spain,Antigua and Barbuda,180
962,Sri Lanka,Antigua and Barbuda,e-visa
963,Saint Vincent and the Grenadines,Antigua and Barbuda,visa free
964,Sudan,Antigua and Barbuda,e-visa
965,Suriname,Antigua and Barbuda,180
966,Sweden,Antigua and Barbuda,180
967,Switzerland,Antigua and Barbuda,180
968,Syria,Antigua and Barbuda,e-visa
969,Taiwan,Antigua and Barbuda,30
970,Tajikistan,Antigua and Barbuda,180
971,Tanzania,Antigua and Barbuda,180
972,Thailand,Antigua and Barbuda,e-visa
973,Timor-Leste,Antigua and Barbuda,e-visa
974,Togo,Antigua and Barbuda,e-visa
975,Tonga,Antigua and Barbuda,e-visa
976,Trinidad and Tobago,Antigua and Barbuda,180
977,Tunisia,Antigua and Barbuda,e-visa
978,Turkey,Antigua and Barbuda,180
979,Turkmenistan,Antigua and Barbuda,180
980,Tuvalu,Antigua and Barbuda,180
981,Uganda,Antigua and Barbuda,180
982,Ukraine,Antigua and Barbuda,180
983,United Arab Emirates,Antigua and Barbuda,90
984,United Kingdom,Antigua and Barbuda,180
985,United States,Antigua and Barbuda,180
986,Uruguay,Antigua and Barbuda,e-visa
987,Uzbekistan,Antigua and Barbuda,180
988,Vanuatu,Antigua and Barbuda,180
989,Vatican,Antigua and Barbuda,180
990,Venezuela,Antigua and Barbuda,180
991,Vietnam,Antigua and Barbuda,e-visa
992,Yemen,Antigua and Barbuda,e-visa
993,Zambia,Antigua and Barbuda,180
994,Zimbabwe,Antigua and Barbuda,e-visa
995,Afghanistan,Argentina,visa required
996,Albania,Argentina,visa required
997,Algeria,Argentina,visa required
998,Andorra,Argentina,90
999,Angola,Argentina,visa required
1000,Antigua and Barbuda,Argentina,visa required
1002,Armenia,Argentina,90
1003,Australia,Argentina,90
1004,Austria,Argentina,90
1005,Azerbaijan,Argentina,visa required
1006,Bahamas,Argentina,visa required
1007,Bahrain,Argentina,visa required
1008,Bangladesh,Argentina,visa required
1009,Barbados,Argentina,90
1010,Belarus,Argentina,90
1011,Belgium,Argentina,90
1012,Belize,Argentina,visa required
1013,Benin,Argentina,visa required
1014,Bhutan,Argentina,visa required
1015,Bolivia,Argentina,90
1016,Bosnia and Herzegovina,Argentina,90
1017,Botswana,Argentina,visa required
1018,Brazil,Argentina,90
1019,Brunei,Argentina,visa required
1020,Bulgaria,Argentina,90
1021,Burkina Faso,Argentina,visa required
1022,Burundi,Argentina,visa required
1023,Cambodia,Argentina,visa required
1024,Cameroon,Argentina,visa required
1025,Canada,Argentina,90
1026,Cape Verde,Argentina,visa required
1027,Central African Republic,Argentina,visa required
1028,Chad,Argentina,visa required
1029,Chile,Argentina,90
1030,China,Argentina,visa required
1031,Colombia,Argentina,90
1032,Comoros,Argentina,visa required
1033,Congo,Argentina,visa required
1034,DR Congo,Argentina,visa required
1035,Costa Rica,Argentina,90
1036,Ivory Coast,Argentina,visa required
1037,Croatia,Argentina,90
1038,Cuba,Argentina,visa required
1039,Cyprus,Argentina,90
1040,Czech Republic,Argentina,90
1041,Denmark,Argentina,90
1042,Djibouti,Argentina,visa required
1043,Dominica,Argentina,90
1044,Dominican Republic,Argentina,visa required
1045,Ecuador,Argentina,90
1046,Egypt,Argentina,visa required
1047,El Salvador,Argentina,90
1048,Equatorial Guinea,Argentina,visa required
1049,Eritrea,Argentina,visa required
1050,Estonia,Argentina,90
1051,Swaziland,Argentina,visa required
1052,Ethiopia,Argentina,visa required
1053,Fiji,Argentina,90
1054,Finland,Argentina,90
1055,France,Argentina,90
1056,Gabon,Argentina,visa required
1057,Gambia,Argentina,visa required
1058,Georgia,Argentina,90
1059,Germany,Argentina,90
1060,Ghana,Argentina,visa required
1061,Greece,Argentina,90
1062,Grenada,Argentina,90
1063,Guatemala,Argentina,90
1064,Guinea,Argentina,visa required
1065,Guinea-Bissau,Argentina,visa required
1066,Guyana,Argentina,90
1067,Haiti,Argentina,visa required
1068,Honduras,Argentina,90
1069,Hong Kong,Argentina,90
1070,Hungary,Argentina,90
1071,Iceland,Argentina,90
1072,India,Argentina,visa required
1073,Indonesia,Argentina,visa required
1074,Iran,Argentina,visa required
1075,Iraq,Argentina,visa required
1076,Ireland,Argentina,90
1077,Israel,Argentina,90
1078,Italy,Argentina,90
1079,Jamaica,Argentina,90
1080,Japan,Argentina,90
1081,Jordan,Argentina,visa required
1082,Kazakhstan,Argentina,90
1083,Kenya,Argentina,visa required
1084,Kiribati,Argentina,visa required
1085,Kosovo,Argentina,visa required
1086,Kuwait,Argentina,visa required
1087,Kyrgyzstan,Argentina,visa required
1088,Laos,Argentina,visa required
1089,Latvia,Argentina,90
1090,Lebanon,Argentina,visa required
1091,Lesotho,Argentina,visa required
1092,Liberia,Argentina,visa required
1093,Libya,Argentina,visa required
1094,Liechtenstein,Argentina,90
1095,Lithuania,Argentina,90
1096,Luxembourg,Argentina,90
1097,Macao,Argentina,90
1098,Madagascar,Argentina,visa required
1099,Malawi,Argentina,visa required
1100,Malaysia,Argentina,30
1101,Maldives,Argentina,visa required
1102,Mali,Argentina,visa required
1103,Malta,Argentina,90
1104,Marshall Islands,Argentina,visa required
1105,Mauritania,Argentina,visa required
1106,Mauritius,Argentina,visa required
1107,Mexico,Argentina,90
1108,Micronesia,Argentina,visa required
1109,Moldova,Argentina,visa required
1110,Monaco,Argentina,90
1111,Mongolia,Argentina,90
1112,Montenegro,Argentina,90
1113,Morocco,Argentina,visa required
1114,Mozambique,Argentina,visa required
1115,Myanmar,Argentina,visa required
1116,Namibia,Argentina,visa required
1117,Nauru,Argentina,visa required
1118,Nepal,Argentina,visa required
1119,Netherlands,Argentina,90
1120,New Zealand,Argentina,90
1121,Nicaragua,Argentina,90
1122,Niger,Argentina,visa required
1123,Nigeria,Argentina,visa required
1124,North Korea,Argentina,visa required
1125,North Macedonia,Argentina,90
1126,Norway,Argentina,90
1127,Oman,Argentina,visa required
1128,Pakistan,Argentina,visa required
1129,Palau,Argentina,visa required
1130,Palestine,Argentina,visa required
1131,Panama,Argentina,90
1132,Papua New Guinea,Argentina,visa required
1133,Paraguay,Argentina,90
1134,Peru,Argentina,90
1135,Philippines,Argentina,visa required
1136,Poland,Argentina,90
1137,Portugal,Argentina,90
1138,Qatar,Argentina,90
1139,Romania,Argentina,90
1140,Russia,Argentina,90
1141,Rwanda,Argentina,visa required
1142,Saint Kitts and Nevis,Argentina,90
1143,Saint Lucia,Argentina,90
1144,Samoa,Argentina,visa required
1145,San Marino,Argentina,90
1146,Sao Tome and Principe,Argentina,visa required
1147,Saudi Arabia,Argentina,visa required
1148,Senegal,Argentina,visa required
1149,Serbia,Argentina,90
1150,Seychelles,Argentina,visa required
1151,Sierra Leone,Argentina,visa required
1152,Singapore,Argentina,90
1153,Slovakia,Argentina,90
1154,Slovenia,Argentina,90
1155,Solomon Islands,Argentina,visa required
1156,Somalia,Argentina,visa required
1157,South Africa,Argentina,90
1158,South Korea,Argentina,90
1159,South Sudan,Argentina,visa required
1160,Spain,Argentina,90
1161,Sri Lanka,Argentina,visa required
1162,Saint Vincent and the Grenadines,Argentina,90
1163,Sudan,Argentina,visa required
1164,Suriname,Argentina,90
1165,Sweden,Argentina,90
1166,Switzerland,Argentina,90
1167,Syria,Argentina,visa required
1168,Taiwan,Argentina,visa required
1169,Tajikistan,Argentina,visa required
1170,Tanzania,Argentina,visa required
1171,Thailand,Argentina,90
1172,Timor-Leste,Argentina,visa required
1173,Togo,Argentina,visa required
1174,Tonga,Argentina,visa required
1175,Trinidad and Tobago,Argentina,90
1176,Tunisia,Argentina,visa required
1177,Turkey,Argentina,90
1178,Turkmenistan,Argentina,visa required
1179,Tuvalu,Argentina,visa required
1180,Uganda,Argentina,visa required
1181,Ukraine,Argentina,90
1182,United Arab Emirates,Argentina,90
1183,United Kingdom,Argentina,90
1184,United States,Argentina,90
1185,Uruguay,Argentina,90
1186,Uzbekistan,Argentina,visa required
1187,Vanuatu,Argentina,visa required
1188,Vatican,Argentina,90
1189,Venezuela,Argentina,90
1190,Vietnam,Argentina,visa required
1191,Yemen,Argentina,visa required
1192,Zambia,Argentina,visa required
1193,Zimbabwe,Argentina,visa required
1194,Afghanistan,Armenia,visa required
1195,Albania,Armenia,180
1196,Algeria,Armenia,e-visa
1197,Andorra,Armenia,180
1198,Angola,Armenia,visa required
1199,Antigua and Barbuda,Armenia,visa on arrival
1200,Argentina,Armenia,180
1202,Australia,Armenia,180
1203,Austria,Armenia,180
1204,Azerbaijan,Armenia,visa free
1205,Bahamas,Armenia,visa on arrival
1206,Bahrain,Armenia,e-visa
1207,Bangladesh,Armenia,visa required
1208,Barbados,Armenia,visa on arrival
1209,Belarus,Armenia,visa free
1210,Belgium,Armenia,180
1211,Belize,Armenia,e-visa
1212,Benin,Armenia,visa required
1213,Bhutan,Armenia,e-visa
1214,Bolivia,Armenia,e-visa
1215,Bosnia and Herzegovina,Armenia,visa on arrival
1216,Botswana,Armenia,visa required
1217,Brazil,Armenia,180
1218,Brunei,Armenia,e-visa
1219,Bulgaria,Armenia,180
1220,Burkina Faso,Armenia,visa required
1221,Burundi,Armenia,visa required
1222,Cambodia,Armenia,e-visa
1223,Cameroon,Armenia,visa required
1224,Canada,Armenia,visa on arrival
1225,Cape Verde,Armenia,visa required
1226,Central African Republic,Armenia,visa required
1227,Chad,Armenia,visa required
1228,Chile,Armenia,visa on arrival
1229,China,Armenia,180
1230,Colombia,Armenia,e-visa
1231,Comoros,Armenia,visa required
1232,Congo,Armenia,visa required
1233,DR Congo,Armenia,visa required
1234,Costa Rica,Armenia,e-visa
1235,Ivory Coast,Armenia,visa required
1236,Croatia,Armenia,180
1237,Cuba,Armenia,e-visa
1238,Cyprus,Armenia,180
1239,Czech Republic,Armenia,180
1240,Denmark,Armenia,180
1241,Djibouti,Armenia,visa required
1242,Dominica,Armenia,visa on arrival
1243,Dominican Republic,Armenia,visa on arrival
1244,Ecuador,Armenia,180
1245,Egypt,Armenia,e-visa
1246,El Salvador,Armenia,e-visa
1247,Equatorial Guinea,Armenia,visa required
1248,Eritrea,Armenia,visa required
1249,Estonia,Armenia,180
1250,Swaziland,Armenia,visa required
1251,Ethiopia,Armenia,visa required
1252,Fiji,Armenia,e-visa
1253,Finland,Armenia,180
1254,France,Armenia,180
1255,Gabon,Armenia,visa required
1256,Gambia,Armenia,visa required
1257,Georgia,Armenia,visa free
1258,Germany,Armenia,180
1259,Ghana,Armenia,visa required
1260,Greece,Armenia,180
1261,Grenada,Armenia,e-visa
1262,Guatemala,Armenia,e-visa
1263,Guinea,Armenia,visa required
1264,Guinea-Bissau,Armenia,visa required
1265,Guyana,Armenia,e-visa
1266,Haiti,Armenia,e-visa
1267,Honduras,Armenia,e-visa
1268,Hong Kong,Armenia,180
1269,Hungary,Armenia,180
1270,Iceland,Armenia,180
1271,India,Armenia,e-visa
1272,Indonesia,Armenia,visa on arrival
1273,Iran,Armenia,90
1274,Iraq,Armenia,e-visa
1275,Ireland,Armenia,180
1276,Israel,Armenia,visa on arrival
1277,Italy,Armenia,180
1278,Jamaica,Armenia,e-visa
1279,Japan,Armenia,180
1280,Jordan,Armenia,visa on arrival
1281,Kazakhstan,Armenia,180
1282,Kenya,Armenia,visa required
1283,Kiribati,Armenia,e-visa
1284,Kosovo,Armenia,no admission
1285,Kuwait,Armenia,180
1286,Kyrgyzstan,Armenia,180
1287,Laos,Armenia,e-visa
1288,Latvia,Armenia,180
1289,Lebanon,Armenia,visa on arrival
1290,Lesotho,Armenia,visa required
1291,Liberia,Armenia,visa required
1292,Libya,Armenia,visa required
1293,Liechtenstein,Armenia,180
1294,Lithuania,Armenia,180
1295,Luxembourg,Armenia,180
1296,Macao,Armenia,90
1297,Madagascar,Armenia,visa required
1298,Malawi,Armenia,visa required
1299,Malaysia,Armenia,e-visa
1300,Maldives,Armenia,e-visa
1301,Mali,Armenia,visa required
1302,Malta,Armenia,180
1303,Marshall Islands,Armenia,e-visa
1304,Mauritania,Armenia,visa required
1305,Mauritius,Armenia,visa required
1306,Mexico,Armenia,visa on arrival
1307,Micronesia,Armenia,e-visa
1308,Moldova,Armenia,visa free
1309,Monaco,Armenia,180
1310,Mongolia,Armenia,e-visa
1311,Montenegro,Armenia,180
1312,Morocco,Armenia,e-visa
1313,Mozambique,Armenia,visa required
1314,Myanmar,Armenia,e-visa
1315,Namibia,Armenia,visa required
1316,Nauru,Armenia,e-visa
1317,Nepal,Armenia,visa required
1318,Netherlands,Armenia,180
1319,New Zealand,Armenia,180
1320,Nicaragua,Armenia,e-visa
1321,Niger,Armenia,visa required
1322,Nigeria,Armenia,visa required
1323,North Korea,Armenia,visa on arrival
1324,North Macedonia,Armenia,visa on arrival
1325,Norway,Armenia,180
1326,Oman,Armenia,visa on arrival
1327,Pakistan,Armenia,visa required
1328,Palau,Armenia,e-visa
1329,Palestine,Armenia,visa required
1330,Panama,Armenia,visa on arrival
1331,Papua New Guinea,Armenia,e-visa
1332,Paraguay,Armenia,e-visa
1333,Peru,Armenia,visa on arrival
1334,Philippines,Armenia,e-visa
1335,Poland,Armenia,180
1336,Portugal,Armenia,180
1337,Qatar,Armenia,180
1338,Romania,Armenia,180
1339,Russia,Armenia,180
1340,Rwanda,Armenia,visa required
1341,Saint Kitts and Nevis,Armenia,e-visa
1342,Saint Lucia,Armenia,e-visa
1343,Samoa,Armenia,e-visa
1344,San Marino,Armenia,180
1345,Sao Tome and Principe,Armenia,visa required
1346,Saudi Arabia,Armenia,e-visa
1347,Senegal,Armenia,visa required
1348,Serbia,Armenia,180
1349,Seychelles,Armenia,visa required
1350,Sierra Leone,Armenia,visa required
1351,Singapore,Armenia,180
1352,Slovakia,Armenia,180
1353,Slovenia,Armenia,180
1354,Solomon Islands,Armenia,e-visa
1355,Somalia,Armenia,visa required
1356,South Africa,Armenia,visa on arrival
1357,South Korea,Armenia,180
1358,South Sudan,Armenia,visa required
1359,Spain,Armenia,180
1360,Sri Lanka,Armenia,visa required
1361,Saint Vincent and the Grenadines,Armenia,visa on arrival
1362,Sudan,Armenia,visa required
1363,Suriname,Armenia,e-visa
1364,Sweden,Armenia,180
1365,Switzerland,Armenia,180
